title_name,title_nutrient
제주사랑 감귤사랑 (500ml),1병 (500ml)당 - 칼로리: 165kcal | 지방: 0.00g | 탄수화물: 41.00g | 단백질: 0.00g
후레쉬c,1/2캔 (120ml)당 - 칼로리: 28kcal | 지방: 0.00g | 탄수화물: 7.00g | 단백질: 0.00g
지코 오리지널,1팩 (330ml)당 - 칼로리: 65kcal | 지방: 0.00g | 탄수화물: 16.00g | 단백질: 0.00g
홈스타일 청포도,1회 (300ml)당 - 칼로리: 120kcal | 지방: 0.00g | 탄수화물: 30.00g | 단백질: 0.00g
카프리썬 딸기키위맛,1봉지 (200ml)당 - 칼로리: 96kcal | 지방: 0.00g | 탄수화물: 24.00g | 단백질: 0.00g
프리미엄 포도주스100,1병 (180ml)당 - 칼로리: 100kcal | 지방: 0.00g | 탄수화물: 25.00g | 단백질: 1.00g
스파클링 복숭아,1캔 (355ml)당 - 칼로리: 200kcal | 지방: 0.00g | 탄수화물: 50.00g | 단백질: 0.00g
깨수깡,1인분 (160ml)당 - 칼로리: 85kcal | 지방: 0.00g | 탄수화물: 21.00g | 단백질: 0.00g
스파클링 오렌지,1캔 (355ml)당 - 칼로리: 155kcal | 지방: 0.00g | 탄수화물: 39.00g | 단백질: 0.00g
흔들어먹는 환타 젤리소다,1회 (185ml)당 - 칼로리: 116kcal | 지방: 0.00g | 탄수화물: 29.00g | 단백질: 0.00g
오리지널 포도,1병 (180ml)당 - 칼로리: 80kcal | 지방: 0.00g | 탄수화물: 20.00g | 단백질: 0.00g
깔라만시 스파클링,1개 (350g)당 - 칼로리: 170kcal | 지방: 0.00g | 탄수화물: 43.00g | 단백질: 0.00g
황금보리,100ml당 - 칼로리: 0kcal | 지방: 0.00g | 탄수화물: 0.00g | 단백질: 0.00g
오리지널 망고,1캔 (180ml)당 - 칼로리: 95kcal | 지방: 0.00g | 탄수화물: 23.00g | 단백질: 0.00g
토레타,1컵 (340ml)당 - 칼로리: 58kcal | 지방: 0.00g | 탄수화물: 14.00g | 단백질: 0.50g
